Country,Clicks,Impressions,CTR,Position
Ireland,55,2144,2.57%,20.64
United Kingdom,4,96,4.17%,14.98
Finland,1,2,50%,13.5
Côte d’Ivoire,1,1,100%,12
United States,0,202,0%,8.05
India,0,29,0%,40
Netherlands,0,19,0%,6.58
Germany,0,15,0%,8.27
United Arab Emirates,0,13,0%,7.46
Canada,0,13,0%,10.62
Brazil,0,9,0%,3.44
Spain,0,9,0%,12
Sweden,0,9,0%,13.67
France,0,9,0%,16.44
Australia,0,9,0%,26
Italy,0,9,0%,26.22
Poland,0,8,0%,3.38
Vietnam,0,7,0%,4.71
Pakistan,0,6,0%,4.17
Japan,0,5,0%,8.6
Indonesia,0,4,0%,3.5
China,0,4,0%,4
Croatia,0,3,0%,6
Greece,0,3,0%,6.33
South Africa,0,3,0%,11.33
Ukraine,0,3,0%,15.33
Colombia,0,3,0%,19.33
Bangladesh,0,3,0%,24.33
Myanmar (Burma),0,2,0%,2
Austria,0,2,0%,2.5
Norway,0,2,0%,3.5
Turkey,0,2,0%,5
Lebanon,0,2,0%,5.5
Tunisia,0,2,0%,5.5
Czechia,0,2,0%,6.5
Saudi Arabia,0,2,0%,14.5
Hungary,0,2,0%,24.5
Hong Kong,0,2,0%,26.5
Israel,0,2,0%,29
Russia,0,2,0%,29
Kenya,0,1,0%,1
Philippines,0,1,0%,1
Iran,0,1,0%,3
Macedonia,0,1,0%,5
Belgium,0,1,0%,6
Barbados,0,1,0%,7
Peru,0,1,0%,7
Jordan,0,1,0%,8
Lithuania,0,1,0%,8
Mexico,0,1,0%,8
Slovakia,0,1,0%,8
Swaziland,0,1,0%,8
Malawi,0,1,0%,9
Portugal,0,1,0%,9
Georgia,0,1,0%,11
Argentina,0,1,0%,14
Sri Lanka,0,1,0%,19
Switzerland,0,1,0%,22
