Date,Clicks,Impressions,CTR,Position
2026-03-17,1,145,0.69%,29.4
2026-03-18,3,192,1.56%,25.7
2026-03-19,2,206,0.97%,25.5
2026-03-20,2,130,1.54%,26
2026-03-21,0,92,0%,29.5
2026-03-22,1,96,1.04%,27.8
2026-03-23,2,201,1%,26
2026-03-24,2,139,1.44%,21.9
2026-03-25,3,135,2.22%,22.9
2026-03-26,1,216,0.46%,36.1
2026-03-27,1,154,0.65%,25.1
2026-03-28,3,92,3.26%,27.9
2026-03-29,0,167,0%,29.5
2026-03-30,2,203,0.99%,29.3
2026-03-31,4,146,2.74%,20.6
2026-04-01,4,135,2.96%,15.6
2026-04-02,0,147,0%,22.8
2026-04-03,1,128,0.78%,24.5
2026-04-04,2,156,1.28%,20
2026-04-05,4,123,3.25%,20.9
2026-04-06,1,124,0.81%,28.7
2026-04-07,3,95,3.16%,23.9
2026-04-08,3,108,2.78%,23.9
2026-04-09,2,176,1.14%,26.2
2026-04-10,3,158,1.9%,18.3
2026-04-11,1,92,1.09%,24.6
2026-04-12,1,91,1.1%,27.8
2026-04-13,0,138,0%,28.9
2026-04-14,4,96,4.17%,20.7
2026-04-15,2,202,0.99%,28.7
2026-04-16,3,177,1.69%,20.5
2026-04-17,5,159,3.14%,15.8
2026-04-18,1,86,1.16%,27.2
2026-04-19,2,102,1.96%,26.4
2026-04-20,7,139,5.04%,23.5
2026-04-21,11,125,8.8%,17.1
2026-04-22,2,160,1.25%,29.2
2026-04-23,4,182,2.2%,30.7
2026-04-24,7,150,4.67%,18.5
2026-04-25,1,93,1.08%,23.5
2026-04-26,3,227,1.32%,36.5
2026-04-27,5,310,1.61%,32.3
2026-04-28,0,125,0%,14.7
2026-04-29,7,121,5.79%,14.4
2026-04-30,2,181,1.1%,24.2
2026-05-01,2,92,2.17%,20.4
2026-05-02,1,100,1%,24.5
2026-05-03,0,85,0%,15.3
2026-05-04,0,125,0%,20.2
2026-05-05,1,157,0.64%,14.2
2026-05-06,2,123,1.63%,18.7
2026-05-07,4,202,1.98%,25.8
2026-05-08,2,116,1.72%,15.4
2026-05-09,0,379,0%,39.1
2026-05-10,2,100,2%,20.1
2026-05-11,4,159,2.52%,20.7
2026-05-12,2,142,1.41%,15.3
2026-05-13,2,123,1.63%,20.8
2026-05-14,5,176,2.84%,24.5
2026-05-15,3,160,1.88%,24.6
2026-05-16,0,82,0%,27
2026-05-17,1,123,0.81%,19.1
2026-05-18,1,141,0.71%,24.2
2026-05-19,4,112,3.57%,18.9
2026-05-20,5,133,3.76%,18.4
2026-05-21,1,112,0.89%,21.6
2026-05-22,0,85,0%,17
2026-05-23,0,54,0%,25.1
2026-05-24,0,58,0%,26.9
2026-05-25,2,69,2.9%,18.9
2026-05-26,2,51,3.92%,12.9
2026-05-27,4,79,5.06%,15.5
2026-05-28,1,98,1.02%,15.3
2026-05-29,0,57,0%,12.3
2026-05-30,0,43,0%,15
2026-05-31,1,23,4.35%,27.8
2026-06-01,0,46,0%,17
2026-06-02,3,65,4.62%,10.7
2026-06-03,0,60,0%,17.2
2026-06-04,0,72,0%,14.7
2026-06-05,5,50,10%,10.9
2026-06-06,1,30,3.33%,17.9
2026-06-07,0,43,0%,21.3
2026-06-08,4,72,5.56%,10.3
2026-06-09,2,65,3.08%,6.3
2026-06-10,0,62,0%,14
2026-06-11,1,114,0.88%,25.2
2026-06-12,2,54,3.7%,8.5
2026-06-13,0,31,0%,13.9
2026-06-14,0,32,0%,15.9
2026-06-15,0,69,0%,12.9
2026-06-16,4,98,4.08%,9.3
