Country,Clicks,Impressions,CTR,Position
Ireland,155,8242,1.88%,24.15
United Kingdom,10,731,1.37%,35.98
Pakistan,10,150,6.67%,16.17
Spain,3,56,5.36%,12.59
United States,2,870,0.23%,9.88
France,2,41,4.88%,6.85
Canada,1,65,1.54%,8.88
Philippines,1,25,4%,20.48
Thailand,1,24,4.17%,16.5
Poland,1,14,7.14%,5.86
Portugal,1,10,10%,21.9
Norway,1,6,16.67%,14.67
Romania,1,5,20%,17.4
New Zealand,1,4,25%,13.75
Iceland,1,3,33.33%,2.33
Luxembourg,1,2,50%,4.5
India,0,120,0%,38.57
Germany,0,60,0%,8.62
Taiwan,0,57,0%,63.14
Netherlands,0,47,0%,7.26
Vietnam,0,37,0%,29.7
Brazil,0,31,0%,22.35
Japan,0,30,0%,15.97
Australia,0,27,0%,11.22
Italy,0,25,0%,16.52
Indonesia,0,23,0%,32
Hong Kong,0,22,0%,10.32
Malaysia,0,21,0%,13.05
Mexico,0,18,0%,33.67
United Arab Emirates,0,15,0%,8.8
Belgium,0,15,0%,9
Singapore,0,15,0%,14.67
South Africa,0,14,0%,12.5
South Korea,0,14,0%,13.93
Bangladesh,0,14,0%,22.5
Austria,0,13,0%,13.46
Czechia,0,13,0%,17.54
Switzerland,0,11,0%,12.18
Saudi Arabia,0,10,0%,9.6
Greece,0,10,0%,14.1
Argentina,0,10,0%,25.9
Denmark,0,9,0%,23.11
Israel,0,9,0%,35.78
China,0,8,0%,27.12
Moldova,0,7,0%,2.71
Sweden,0,7,0%,8
Montenegro,0,7,0%,18.57
Colombia,0,7,0%,29.43
Turkey,0,6,0%,8.17
Venezuela,0,6,0%,17.67
Croatia,0,6,0%,20
Ukraine,0,6,0%,20
Tunisia,0,6,0%,26.5
Morocco,0,6,0%,29.17
Hungary,0,6,0%,32.67
Russia,0,6,0%,36.5
Egypt,0,6,0%,50
Chile,0,5,0%,7
Mauritius,0,5,0%,7.8
Serbia,0,5,0%,7.8
Kenya,0,5,0%,9.6
Lebanon,0,5,0%,13.2
Peru,0,5,0%,22.6
Latvia,0,4,0%,4
Algeria,0,4,0%,10.75
Kyrgyzstan,0,4,0%,31.25
Iraq,0,3,0%,4.33
Iran,0,3,0%,5
Qatar,0,3,0%,7
Nigeria,0,3,0%,7.33
Myanmar (Burma),0,3,0%,18.67
Nepal,0,3,0%,31.67
Lithuania,0,3,0%,39
Finland,0,2,0%,1.5
Jordan,0,2,0%,2
Cambodia,0,2,0%,4
Nicaragua,0,2,0%,7
Panama,0,2,0%,7.5
Seychelles,0,2,0%,8.5
Uganda,0,2,0%,9
Slovakia,0,2,0%,10
Namibia,0,2,0%,13
Ecuador,0,2,0%,18
Suriname,0,2,0%,18.5
El Salvador,0,2,0%,30
Cyprus,0,2,0%,41.5
Laos,0,2,0%,41.5
Kuwait,0,2,0%,50.5
Estonia,0,1,0%,1
Guatemala,0,1,0%,1
Malta,0,1,0%,1
Slovenia,0,1,0%,1
Aruba,0,1,0%,2
Bulgaria,0,1,0%,2
Belarus,0,1,0%,2
Costa Rica,0,1,0%,5
Bolivia,0,1,0%,7
Cuba,0,1,0%,7
Ghana,0,1,0%,8
Albania,0,1,0%,9
Rwanda,0,1,0%,9
Brunei,0,1,0%,10
Maldives,0,1,0%,11
Palestine,0,1,0%,29
Cameroon,0,1,0%,37
Bosnia & Herzegovina,0,1,0%,50
Ethiopia,0,1,0%,50
Kazakhstan,0,1,0%,64
Sri Lanka,0,1,0%,72
